Team,Group,Round1,Round2,Round3,Round4,Round5,Final,Winner
Russia,A,1,1,1,0,0,0,0
Saudi Arabia,A,1,0,0,0,0,0,0
Egypt,A,1,0,0,0,0,0,0
Uruguay,A,1,1,1,0,0,0,0
Porugal,B,1,1,0,0,0,0,0
Spain,B,1,1,0,0,0,0,0
Morocco,B,1,0,0,0,0,0,0
IRAN,B,1,0,0,0,0,0,0
France,C,1,1,1,0,0,0,0
Australia,C,1,0,0,0,0,0,0
Peru,C,1,0,0,0,0,0,0
Denmark,C,1,1,0,0,0,0,0
Argentina,D,1,1,0,0,0,0,0
Iceland,D,1,0,0,0,0,0,0
Croatia,D,1,1,1,0,0,0,0
Nigeria,D,1,0,0,0,0,0,0
Brazil,E,1,1,1,0,0,0,0
Switzerland,E,1,1,0,0,0,0,0
Costarica,E,1,0,0,0,0,0,0
Serbia,E,1,0,0,0,0,0,0
Germany,F,1,0,0,0,0,0,0
Mexico,F,1,1,0,0,0,0,0
Sweden,F,1,1,1,0,0,0,0
Korea,F,1,0,0,0,0,0,0
Belgium,G,1,1,1,0,0,0,0
Panama,G,1,0,0,0,0,0,0
Tunisia,G,1,0,0,0,0,0,0
England,G,1,1,1,0,0,0,0
Poland,H,1,0,0,0,0,0,0
Senegal,H,1,0,0,0,0,0,0
Columbia,H,1,1,0,0,0,0,0
Japan,H,1,1,0,0,0,0,0
